Round,AI Rank,State,Institute,Course,Quota,Category
0,256,Delhi,AIIMS Delhi,INECTIOUS DISEASES 6 YRS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,259,Chhattisgarh,AIIMS Raipur,DERMATOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,260,Chandigarh,PGIMER Chandigarh,ORTHOPAEDICS,PGIMER-All India,UR
0,261,Pondicherry,JIPMER Puducherry,GENERAL SURGERY,JIPMER-All India,UR
0,263,Andhra Pradesh,AIIMS Mangalagiri,GENERAL MEDICINE,AIIMS-All India,OBC
0,265,Uttar Pradesh,AIIMS Gorakhpur,PAEDIATRICS,AIIMS-All India,UR
0,266,Chhattisgarh,AIIMS Raipur,GENERAL SURGERY,AIIMS-All India,UR
0,267,Uttar Pradesh,AIIMS Rai Bareli,GENERAL MEDICINE,AIIMS-All India,OBC
0,270,Delhi,AIIMS Delhi,OPHTHALMOLOGY,AIIMS-All India,EWS
0,271,Karnataka,NIMHANS Bangalore,PSYCHIATRY,NIMHANS-All India,UR
0,272,Delhi,AIIMS Delhi,GENERAL SURGERY,AIIMS-All India,OBC
0,273,Delhi,AIIMS Delhi,NEUROSURGERY 6 YRS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,275,Chandigarh,PGIMER Chandigarh,ORTHOPAEDICS,PGIMER-All India,UR
0,276,Uttar Pradesh,AIIMS Rai Bareli,NEUROLOGY 6 YRS,AIIMS-All India,UR
0,280,Jharkhand,AIIMS Deoghar,PAEDIATRICS,AIIMS-All India,UR
0,283,Pondicherry,JIPMER Puducherry,PAEDIATRICS,JIPMER-All India,OBC
0,285,Delhi,AIIMS Delhi,GENERAL SURGERY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,286,Pondicherry,JIPMER Puducherry,RADIO DIAGNOSIS,JIPMER-All India,SC
0,287,Punjab,AIIMS Bathinda,DERMATOLOGY,AIIMS-All India,EWS
0,288,Karnataka,NIMHANS Bangalore,PSYCHIATRY,NIMHANS-All India,UR
0,289,Maharashtra,AIIMS Nagpur,DERMATOLOGY,AIIMS-All India,EWS
0,290,Karnataka,NIMHANS Bangalore,PSYCHIATRY,NIMHANS-All India,UR
0,291,Madhya Pradesh,AIIMS Bhopal,OBG,AIIMS-All India,UR
0,292,Chhattisgarh,AIIMS Raipur,CARDIO THORACIC AND VASCULAR SURGERY 6 YRS,AIIMS-All India,UR
0,295,Pondicherry,JIPMER Puducherry,TBRD,JIPMER-All India,OBC
0,297,Maharashtra,AIIMS Nagpur,GENERAL SURGERY,AIIMS-All India,UR
0,298,Uttar Pradesh,AIIMS Gorakhpur,GENERAL MEDICINE,AIIMS-All India,OBC
0,299,Telangana,AIIMS Bibinagar,GENERAL MEDICINE,AIIMS-All India,OBC
0,300,Odisha,AIIMS Bhubaneswar,PAEDIATRICS,AIIMS-All India,OBC
0,303,West Bengal,AIIMS Kalyani,GENERAL MEDICINE,AIIMS-All India,OBC
0,304,Uttarakhand,AIIMS Rishikesh,RADIATION ONCOLOGY,AIIMS-All India,UR
0,305,Himachal Pradesh,AIIMS Bilaspur Himachal,GENERAL MEDICINE,AIIMS-All India,OBC
0,308,Chandigarh,PGIMER Chandigarh,PAEDIATRICS,PGIMER-All India,OBC
0,310,Odisha,AIIMS Bhubaneswar,DERMATOLOGY,AIIMS-All India,EWS
0,311,Rajasthan,AIIMS Jodhpur,NUCLEAR MEDICINE,AIIMS-All India,OBC
0,312,Chandigarh,PGIMER Chandigarh,PAEDIATRICS,PGIMER-All India,OBC
0,313,Pondicherry,JIPMER Puducherry,GENERAL MEDICINE,JIMPER-Inst. Pref,INST (JIPMER)
0,314,Delhi,AIIMS Delhi,GENERAL SURGERY,AIIMS-All India,OBC
0,315,Uttarakhand,AIIMS Rishikesh,OBG,AIIMS-Inst. Pref,UR-AIIMS-IP
0,316,Uttarakhand,AIIMS Rishikesh,OBG,AIIMS-All India,UR
0,317,Pondicherry,JIPMER Puducherry,ORTHOPAEDICS,JIPMER-All India,UR
0,318,Gujarat,AIIMS Rajkot,PAEDIATRICS,AIIMS-All India,UR
0,319,Pondicherry,JIPMER Puducherry,PAEDIATRICS,JIPMER-All India,EWS
0,320,Madhya Pradesh,AIIMS Bhopal,GENERAL SURGERY,AIIMS-All India,UR
0,322,Madhya Pradesh,AIIMS Bhopal,PAEDIATRICS,AIIMS-All India,EWS
0,323,Uttar Pradesh,AIIMS Rai Bareli,GENERAL SURGERY,AIIMS-All India,UR
0,324,Andhra Pradesh,AIIMS Mangalagiri,PAEDIATRICS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,326,Uttar Pradesh,AIIMS Rai Bareli,NEUROSURGERY 6 YRS,AIIMS-All India,UR
0,327,Delhi,AIIMS Delhi,OBG,AIIMS-All India,OBC
0,328,Karnataka,NIMHANS Bangalore,PSYCHIATRY,NIMHANS-All India,UR
0,330,Delhi,AIIMS Delhi,OPHTHALMOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,331,Delhi,AIIMS Delhi,PATHOLOGY,AIIMS-All India,UR
0,336,Chandigarh,PGIMER Chandigarh,PAEDIATRICS,PGIMER-Rural,UR-RA
0,337,Pondicherry,JIPMER Puducherry,OBG,JIPMER-All India,UR
0,340,Rajasthan,AIIMS Jodhpur,PAEDIATRICS,AIIMS-All India,OBC
0,341,Pondicherry,JIPMER Puducherry,GENERAL SURGERY,JIPMER-All India,UR
0,343,Pondicherry,JIPMER Puducherry,OBG,JIPMER-All India,OBC
0,344,Pondicherry,JIPMER Puducherry,PAEDIATRICS,JIMPER-Inst. Pref,INST (JIPMER)
0,345,Delhi,AIIMS Delhi,ANAESTHESIOLOGY,AIIMS-All India,UR
0,346,Karnataka,NIMHANS Bangalore,PSYCHIATRY,NIMHANS-All India,UR
0,347,Gujarat,AIIMS Rajkot,GENERAL MEDICINE,AIIMS-All India,OBC
0,348,Assam,AIIMS Guwahati,GENERAL MEDICINE,AIIMS-All India,OBC
0,350,Delhi,AIIMS Delhi,ANAESTHESIOLOGY,AIIMS-All India,UR
0,351,Uttar Pradesh,AIIMS Rai Bareli,DERMATOLOGY,AIIMS-All India,OBC
0,352,Pondicherry,JIPMER Puducherry,PAEDIATRICS,JIPMER-All India,EWS
0,354,Chandigarh,PGIMER Chandigarh,RADIATION ONCOLOGY,PGIMER-All India,UR
0,355,Karnataka,NIMHANS Bangalore,PSYCHIATRY,NIMHANS-All India,UR
0,356,Uttar Pradesh,AIIMS Gorakhpur,DERMATOLOGY,AIIMS-All India,OBC
0,357,Pondicherry,JIPMER Puducherry,EMERGENCY MEDICINE,JIPMER-All India,OBC
0,358,West Bengal,AIIMS Kalyani,GENERAL MEDICINE,AIIMS-All India,OBC
0,359,Andhra Pradesh,AIIMS Mangalagiri,OBG,AIIMS-All India,UR
0,360,Delhi,AIIMS Delhi,COMMUNITY MEDICINE,AIIMS-All India,UR
0,362,Uttarakhand,AIIMS Rishikesh,OBG,AIIMS-All India,OBC
0,363,Pondicherry,JIPMER Puducherry,OBG,JIPMER-All India,UR
0,365,Punjab,AIIMS Bathinda,GENERAL SURGERY,AIIMS-All India,UR
